,x,y
203,4.2,0.7999999999999999
204,4.4,0.7999999999999999
205,4.6,0.7999999999999998
206,4.799999999999999,0.8
207,5.0,0.8
208,5.2,0.8
209,5.4,0.8
210,-0.4,1.0
211,-0.2,1.0
212,0.0,1.0
213,0.2,1.0
214,0.4,1.0
215,0.6,1.0
216,0.8,1.0
217,1.0,1.0
218,1.2,1.0
219,1.4000000000000001,1.0
220,1.6,1.0
221,1.7999999999999998,1.0
222,2.0,1.0
223,2.2,1.0
224,2.4,1.0
225,2.6,1.0
226,2.8000000000000003,1.0
227,3.0,1.0
228,3.2,1.0
229,3.4000000000000004,1.0
230,3.5999999999999996,1.0
231,3.8,1.0
232,4.0,1.0
233,4.2,1.0
234,4.4,1.0
235,4.6000000000000005,1.0
236,4.8,1.0
237,5.0,1.0
238,5.2,1.0
